지 역,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01
전국,251459,250134,249292,248895,248952,249460,249330,248705,248058,248189,249144,249657,250066,252332,253063,253977,254180,254179,254207,254273,254646,255658,256639,257252,257685,256960,257770,258966,260724,262134,263642,274990,276080,277359,278709,279746,280443,280494,280335,280234,280278,280468,280692,281061,281537,281340,282377,283165,283287,283255,283334,283908,284256,284784,286026,286673,287768,287993,288461,289072,313552,315961,318503,319757,320248,320271,320157,320135,320944,323915,325205,325441,325014,349426,348312,347165,345809,344891,344322,344195,344332,344798,346156,348031,351787,366793,368783,372016,373252,373608,375821,380260,383529,386235
서울,499900,496180,494168,493675,494492,495511,493908,490682,488116,488428,490519,490840,490524,490995,492451,494338,494478,494042,493673,493652,494256,496425,498452,499009,498927,500454,502150,504979,508683,512004,515481,537536,540479,543833,547153,549204,551299,551346,550462,550313,550936,552227,553603,555720,558017,554800,559311,562096,562278,562025,562529,565946,567740,570287,576774,579325,582818,582609,584459,587516,659905,673522,686220,691838,693673,694435,694739,695931,702383,716453,720347,719724,717749,810129,806027,802157,799211,797617,797214,798302,799721,801480,807121,813573,827228,877128,877185,876857,873791,870742,871897,881834,886216,888511
경기,263679,262280,261285,261065,261526,261571,260887,260116,260103,261088,261539,262059,264497,265342,266580,266507,266261,266134,266125,266520,267930,269061,269815,270360,270250,271274,272571,274623,276293,277964,287534,288662,289937,291476,292610,293223,293358,293362,293291,293230,293308,293569,293846,294234,296573,297113,297698,297830,297826,297817,297890,298147,298483,298993,299812,301247,302000,302598,303176,320920,321896,323802,325231,326362,326840,327185,327297,327732,330735,333158,334458,334469,355541,354658,353599,351599,350168,349317,349249,349695,350665,352063,354143,357767,378093,383242,391027,395275,397329,400898,406661,411193,415139,418927
인천,202523,200792,199521,198613,198803,198975,198906,198652,198262,198428,199825,200720,201236,208264,208972,210232,210733,211004,211121,211299,211647,212331,213001,213614,213870,214626,215182,216256,217981,219230,220569,229480,230134,230948,231698,232615,233204,233304,233258,233324,233453,233573,233891,234244,234693,237977,238410,238868,239023,238988,239143,239215,239343,239510,239925,240175,241043,241722,242268,242772,259746,259720,259991,260130,260092,259964,259834,259501,258676,258424,258735,259280,259838,271507,271187,271290,271245,271141,271150,271014,270529,271206,271693,272516,274008,292262,294635,305255,311097,314314,318708,321070,322046,322873
부산,212792,212029,211543,211226,211163,211226,211071,210624,210403,210323,210578,210837,211065,212841,213118,213302,213504,213682,213954,214303,214584,215037,215522,216050,216612,217114,217596,218433,219658,220524,221693,237179,237797,238702,240069,241606,242432,242576,242746,242939,243310,243621,244143,244817,245917,248018,250068,252401,253673,254377,254931,255306,256009,256994,257901,258554,259110,259166,259093,258951,295127,294662,294103,293482,292654,291929,290841,289957,288613,287686,286998,286000,284824,286979,286234,285387,284237,283320,282316,281421,280739,280051,279576,280010,282744,293320,293719,293869,293628,293705,294232,297860,301641,305813
대구,178616,179567,179950,180251,181879,183502,185337,187904,189282,190285,191806,193837,196511,200266,201950,203194,204525,205357,205856,206427,207244,208527,209836,211531,213401,214446,215765,217405,220122,222296,224775,257462,259247,261865,263877,265353,265380,264852,264237,263436,262650,262163,261227,260604,259862,258584,258343,258169,257830,257563,257264,257031,256755,256345,256288,256434,258509,259930,260826,261883,274786,276089,277122,278348,280192,281747,282575,283339,284127,285505,287900,290186,291985,301010,301172,301207,300930,300711,300462,300077,299664,299625,299953,300520,301426,311440,312203,312176,311639,311506,312112,313048,315333,318697
광주,140320,140341,140478,140606,140911,141099,141152,141124,141050,141024,141146,141344,141364,143063,143409,143641,143931,143991,144113,144333,144520,144800,145160,145486,145894,145904,146458,147435,149585,150687,152035,182302,182997,183032,183798,184723,185214,185191,185290,185282,185437,185403,185316,185072,184975,184977,185073,185186,185266,185411,185446,185451,185552,185677,185581,185801,185991,186223,186538,186751,198645,199020,199622,200240,200836,201405,201933,202783,203841,206391,208422,209286,210101,233935,234084,234174,234028,233594,233014,232514,232172,231987,231955,232058,232098,234795,234962,235014,234976,234781,234692,234753,234590,234530
대전,197903,197958,197748,197880,198459,198701,198755,198131,197619,197420,197869,198306,198757,203909,203733,203513,203237,202936,202692,202531,202520,202798,203133,203287,203253,203857,203870,203998,204104,204146,204166,206456,206415,206150,206354,206581,206395,206179,206030,206044,206017,206022,205974,206056,206194,210577,210740,211026,211281,211495,211708,211858,211931,211935,211875,211997,212794,213261,213782,214581,215472,216018,216719,217117,217367,217422,217556,217711,218187,218646,221082,223846,226001,241945,242256,242391,242538,243448,244651,245739,248456,251975,256712,261965,266658,283351,288119,294267,297965,299216,308667,312194,315099,320793
울산,199271,199022,198705,198385,198515,198617,198945,199234,198991,198915,199270,199693,199746,202489,202797,203181,203611,204156,205045,205818,206532,207242,207817,208287,208807,209738,210239,210742,211603,212361,213306,225099,225679,226642,227693,228654,229474,230060,230666,231017,231294,231628,231604,231207,230955,232098,232524,232567,232449,232153,231965,231888,231639,231328,230895,230503,230004,229708,229313,228421,244330,243398,242557,241905,240742,238710,236946,234876,232433,230873,228787,226564,224176,228610,227430,226303,224992,224167,223433,223024,222781,222605,223171,224383,226046,232432,234163,235633,236337,236837,238281,240574,243182,247128
세종,143257,144635,146230,147811,148986,150351,150892,150284,149622,149986,151146,151492,151816,173256,173052,173077,172592,171747,171043,170043,169208,168476,169123,169100,169086,176808,177018,176924,177020,176909,177123,206891,206895,207029,207325,207340,207214,207337,207611,207760,207846,208044,208092,208316,208669,230415,230749,231431,231809,231911,231671,231534,232256,234788,241624,244114,245682,245657,245630,245631,285988,286645,287068,288000,288998,289896,290533,291527,291794,291271,291107,291771,292105,338627,338226,336720,334075,333160,331009,329262,328364,328136,328057,328163,331777,373034,382547,405333,414208,415734,426547,455479,501789,523888
