Date,Open,High,Low,Close,Adj Close,Volume
2016-04-18,133600,134400,131400,132200,130978.7344,374705
2016-04-19,132200,134400,132200,133800,132563.9375,451405
2016-04-20,133200,133600,130200,130800,129591.6641,463915
2016-04-21,132000,133400,131200,133400,132167.6563,412070
2016-04-22,132000,133000,131400,132600,131375.0313,194870
2016-04-25,132400,133000,131000,132400,131176.875,355620
2016-04-26,132600,134400,129800,130800,129591.6641,789600
2016-04-27,129600,133000,128000,133000,131771.3438,403340
2016-04-28,138200,138200,129200,131800,130582.4141,1141055
2016-04-29,133600,136200,133200,135400,134149.1875,908665
2016-05-02,135800,136000,133400,135600,134347.3125,288895
2016-05-03,136400,136400,135000,135200,133951.0156,343900
2016-05-04,135800,136600,134000,136000,134743.625,697250
2016-05-09,139800,141000,137400,140000,138706.6875,925425
2016-05-10,141600,142800,139000,141400,140093.7188,532275
2016-05-11,140000,140400,138000,138600,137319.5938,441680
2016-05-12,139000,139400,135200,135200,133951.0156,338430
2016-05-13,135000,137400,133600,135400,134149.1875,462865
2016-05-16,134200,139000,134200,138400,137121.4531,322650
2016-05-17,138200,138800,137200,138800,137517.75,341630
2016-05-18,138800,139600,136400,139600,138310.375,875390
2016-05-19,137400,140200,137400,140200,138904.8125,251090
2016-05-20,141600,142000,136400,137600,136328.8438,382600
2016-05-23,138000,138000,134600,138000,136725.1563,288895
2016-05-24,138000,140600,137200,138800,137517.75,276200
2016-05-25,140200,141800,139000,140800,139499.2813,463225
2016-05-26,140800,141800,139800,140600,139301.1406,226115
2016-05-27,141000,141200,139000,140000,138706.6875,225070
2016-05-30,141000,142400,140400,142000,140688.2031,414260
2016-05-31,142000,144000,141200,144000,142669.7031,579335
2016-06-01,140000,140200,133200,137400,136130.6875,1681135
2016-06-02,138800,142600,138200,139400,138112.2031,509065
2016-06-03,140400,141600,139000,141400,140093.7188,438765
2016-06-07,145600,145800,141000,141400,140093.7188,498305
2016-06-08,141800,145000,141600,144400,143066.0313,556190
2016-06-09,146200,146600,142400,144000,142669.7031,672840
2016-06-10,146200,146600,143400,144000,142669.7031,475005
2016-06-13,142800,142800,137200,139400,138112.2031,800590
2016-06-14,137800,140400,135800,139400,138112.2031,654895
2016-06-15,140800,141800,138400,139400,138112.2031,352325
2016-06-16,138200,140200,138200,140200,138904.8125,299220
2016-06-17,140200,140400,137600,137800,136526.9844,367800
2016-06-20,139400,139400,136800,138400,137121.4531,307550
2016-06-21,138800,139600,137600,139400,138112.2031,307700
2016-06-22,139800,146000,139800,146000,144651.25,1005435
2016-06-23,146600,152000,146400,149400,148019.8281,1130610
2016-06-24,149000,151800,144200,147800,146434.625,867905
2016-06-27,145600,146000,141200,142000,140688.2031,1174480
2016-06-28,140200,143800,140000,143800,142471.5781,770085
2016-06-29,143000,144800,142600,142600,141282.6406,741970
2016-06-30,142000,143400,141400,142000,140688.2031,767665
2016-07-01,142600,144600,142600,142600,141282.6406,382845
2016-07-04,143200,145800,142400,145400,144056.7813,589185
2016-07-05,146000,151200,146000,150000,148614.2813,635330
2016-07-06,150000,150000,146000,149000,147623.5469,612230
2016-07-07,150400,154000,149600,150600,149208.75,342580
2016-07-08,150200,151200,149600,150000,148614.2813,368765
2016-07-11,149000,151600,148600,150800,149406.8906,541025
2016-07-12,151800,153600,149600,151000,149605.0469,635055
2016-07-13,152000,153600,149600,151600,150199.5,775750
2016-07-14,150200,150800,146800,146800,145443.8438,827050
2016-07-15,150000,150600,141200,143200,141877.125,1530420
